t,n,phi,convergence,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean beta,bias.mean mu.M,bias.mean phi,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median beta,bias.median mu.M,bias.median phi,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode beta,bias.mode mu.M,bias.mode phi,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp beta,cover.qbp mu.M,cover.qbp phi,cover.qbp sigma2," cover.hpd Cov[1,1]"," cover.hpd Cov[2,1]"," cover.hpd Cov[3,1]"," cover.hpd Cov[1,2]"," cover.hpd Cov[2,2]"," cover.hpd Cov[3,2]"," cover.hpd Cov[1,3]"," cover.hpd Cov[2,3]"," cover.hpd Cov[3,3]", cover.hpd R, cover.hpd mu.D, cover.hpd beta, cover.hpd mu.M, cover.hpd phi, cover.hpd sigma2,ci.R,ci.beta,ci.mu.M,ci.phi
17,1000,1.570796327,1,-0.000349226,2.845055114,-1.211906365,2.845055114,1.425452012,-1.728241875,-1.211906365,-1.728241875,-0.482145827,0.003653762,-0.002213401,-0.052395165,-0.001799403,-0.002645599,-0.004061871,-0.001333106,2.836623777,-1.211778888,2.836623777,1.421287653,-1.727350608,-1.211778888,-1.727350608,-0.4842687,0.003613326,-0.002213454,-0.052399494,-0.001635016,-0.002653082,-0.004168478,-0.001569423,2.824453704,-1.211614566,2.824453704,1.413947375,-1.725710898,-1.211614566,-1.725710898,-0.488645101,0.003498193,-0.007080238,-0.052179902,9.76E-05,-0.002663151,-0.004180287,0.958,0.172,0,0.172,0,0,0,0,0,0.874,0.952,0.655,0.266,0.805,0.928,0.981,0.256,0,0.256,0,0,0,0,0,0.917,0.98,0.734,0.299,0.861,0.954,0.944,0.809,0.955,0.947
33,1000,1.570796327,1,-5.05E-05,2.874187246,-1.220127931,2.874187246,1.40255604,-1.770448621,-1.220127931,-1.770448621,-0.526397513,0.002021723,-0.001709096,-0.036735213,-0.001302219,-0.001983864,-0.001499161,-0.001006242,2.863192679,-1.219876616,2.863192679,1.39854367,-1.769077148,-1.219876616,-1.769077148,-0.527727823,0.00199012,-0.002137563,-0.036709862,-0.001293331,-0.00196756,-0.001553039,-0.000744777,2.833613275,-1.218866128,2.833613275,1.391084279,-1.766755737,-1.218866128,-1.766755737,-0.530220965,0.001842314,-0.009907919,-0.036528923,-0.001570627,-0.001885027,-0.001705021,0.96185567,0.112371134,0,0.112371134,0,0,0,0,0,0.801030928,0.951546392,0.640206186,0.197938144,0.717525773,0.939175258,0.979381443,0.155670103,0,0.155670103,0,0,0,0,0,0.860824742,0.977319588,0.708247423,0.225773196,0.778350515,0.962886598,0.945360825,0.860824742,0.953608247,0.959793814
65,1000,1.570796327,1,0.000229046,2.851427573,-1.225288481,2.851427573,1.383717612,-1.787090534,-1.225288481,-1.787090534,-0.545675649,0.000934312,-0.00217295,-0.025217793,-0.001765664,-0.00140672,-0.000470137,-0.00073274,2.838195744,-1.224855212,2.838195744,1.37971101,-1.785946922,-1.224855212,-1.785946922,-0.546663845,0.000911575,-0.002720972,-0.025205467,-0.001802554,-0.001410983,-0.0004978,-0.000388018,2.795142136,-1.222231846,2.795142136,1.371403209,-1.784654667,-1.222231846,-1.784654667,-0.548513355,0.000728527,-0.010574669,-0.025201179,-0.002620567,-0.001386219,-0.000715633,0.960204082,0.066326531,0,0.066326531,0,0,0,0,0,0.72755102,0.958163265,0.606122449,0.13877551,0.604081633,0.937755102,0.979591837,0.108163265,0,0.108163265,0,0,0,0,0,0.781632653,0.975510204,0.664285714,0.163265306,0.667346939,0.96122449,0.95,0.896938776,0.960204082,0.952040816
17,100,3.141592654,1,0.016200568,-1.751635045,-2.000395642,-1.751635045,1.07042267,-0.381914087,-2.000395642,-0.381914087,0.36376715,0.010330788,-0.009624519,-0.056861519,-0.008364267,-0.0024778,-0.011612321,0.002274858,-1.74628751,-1.977438268,-1.74628751,1.023046628,-0.39546604,-1.977438268,-0.39546604,0.335738049,0.010290552,-0.010531226,-0.056831609,-0.00816554,-0.002313358,-0.012834588,-0.019853219,-1.71528698,-1.935005483,-1.71528698,0.933295062,-0.42236274,-1.935005483,-0.42236274,0.285050584,0.010167074,-0.031058228,-0.056529271,-0.00709916,-0.002136365,-0.015875836,0.953,0.949,0.348,0.949,0.002,0.957,0.348,0.957,0.761,0.849,0.948,0.856,0.307,0.846,0.931,0.974,0.986,0.478,0.986,0.054,0.985,0.478,0.985,0.89,0.909,0.972,0.905,0.345,0.906,0.958,0.963,0.971,0.942,0.976
33,100,3.141592654,1,0.015059412,-1.786744444,-2.002102554,-1.786744444,0.765451431,-0.292653062,-2.002102554,-0.292653062,0.258687881,0.005115669,-0.009911422,-0.032134942,-0.008703905,-0.001652049,-0.00445503,0.001233747,-1.775776919,-1.979394211,-1.775776919,0.731314331,-0.30658172,-1.979394211,-0.30658172,0.237007598,0.005142548,-0.010871977,-0.032130257,-0.008431589,-0.001532643,-0.005061693,-0.020582742,-1.751560487,-1.938166372,-1.751560487,0.667782232,-0.334181153,-1.938166372,-0.334181153,0.197816984,0.00577476,-0.025380826,-0.031944052,-0.007978566,-0.001434421,-0.005596481,0.941237113,0.937113402,0.237113402,0.937113402,0.060824742,0.96185567,0.237113402,0.96185567,0.807216495,0.808247423,0.948453608,0.827835052,0.226804124,0.767010309,0.945360825,0.972164948,0.969072165,0.353608247,0.969072165,0.249484536,0.977319588,0.353608247,0.977319588,0.912371134,0.869072165,0.971134021,0.867010309,0.24742268,0.826804124,0.971134021,0.960824742,0.968041237,0.945360825,0.971134021
65,100,3.141592654,1,0.017987116,-1.777559146,-1.999157153,-1.777559146,0.574348029,-0.241286541,-1.999157153,-0.241286541,0.211885385,0.001949462,-0.004692208,-0.022375553,-0.004971149,-0.000720454,-0.001923469,0.00357925,-1.768853204,-1.977527011,-1.768853204,0.547473205,-0.255004521,-1.977527011,-0.255004521,0.193706596,0.00201851,-0.005358156,-0.022390446,-0.004776259,-0.000638238,-0.002105036,-0.020966906,-1.759114731,-1.941403339,-1.759114731,0.497681562,-0.280852135,-1.941403339,-0.280852135,0.162508753,0.002723841,-0.014107893,-0.022515839,-0.009534713,-0.000580401,-0.000965266,0.945833333,0.910416667,0.177083333,0.910416667,0.190625,0.953125,0.177083333,0.953125,0.81875,0.6875,0.945833333,0.722916667,0.159375,0.646875,0.951041667,0.971875,0.951041667,0.282291667,0.951041667,0.434375,0.976041667,0.282291667,0.976041667,0.915625,0.75625,0.977083333,0.78125,0.178125,0.714583333,0.971875,0.957291667,0.95625,0.942708333,0.964583333
17,200,3.141592654,1,0.015501938,-1.851226188,-1.966544262,-1.851226188,0.659770236,-0.344398743,-1.966544262,-0.344398743,0.196862614,0.007463743,-0.006084966,-0.056574663,-0.004538934,-0.002218505,-0.009104482,0.008710486,-1.837608425,-1.958170649,-1.837608425,0.637505699,-0.348577474,-1.958170649,-0.348577474,0.183846733,0.007468469,-0.0057894,-0.056591214,-0.004424493,-0.00211511,-0.00970236,-0.004482801,-1.797412043,-1.946798055,-1.797412043,0.597035858,-0.357467924,-1.946798055,-0.357467924,0.159978521,0.007157002,-0.008440809,-0.056490094,-0.004241001,-0.001824053,-0.011596178,0.947,0.856,0.079,0.856,0.098,0.909,0.079,0.909,0.843,0.872,0.962,0.832,0.289,0.843,0.921,0.979,0.917,0.136,0.917,0.293,0.948,0.136,0.948,0.926,0.906,0.982,0.888,0.324,0.886,0.961,0.96,0.943,0.96,0.964
33,200,3.141592654,1,0.016637054,-1.868396505,-1.970167475,-1.868396505,0.42580403,-0.282135131,-1.970167475,-0.282135131,0.136810393,0.005094363,-0.006927673,-0.036989206,-0.00540361,-0.00155902,-0.003744513,0.009993712,-1.855120918,-1.961494962,-1.855120918,0.411162443,-0.287877601,-1.961494962,-0.287877601,0.126617559,0.00506071,-0.007119494,-0.03695928,-0.005305427,-0.001490747,-0.004147827,-0.001610494,-1.814958654,-1.951598669,-1.814958654,0.38381754,-0.298960265,-1.951598669,-0.298960265,0.107172881,0.004497942,-0.017464116,-0.036817206,-0.005979659,-0.001319902,-0.006243561,0.945918367,0.824489796,0.032653061,0.824489796,0.307142857,0.879591837,0.032653061,0.879591837,0.860204082,0.806122449,0.957142857,0.783673469,0.212244898,0.748979592,0.943877551,0.967346939,0.894897959,0.047959184,0.894897959,0.547959184,0.926530612,0.047959184,0.926530612,0.923469388,0.857142857,0.978571429,0.848979592,0.236734694,0.806122449,0.968367347,0.967346939,0.954081633,0.95,0.960204082
65,200,3.141592654,1,0.016498272,-1.899640746,-1.986958562,-1.899640746,0.295475069,-0.244385866,-1.986958562,-0.244385866,0.109858954,0.002668789,-0.005756174,-0.024416288,-0.004532816,-0.001170431,-0.001335553,0.009951302,-1.886956239,-1.979559886,-1.886956239,0.28472015,-0.251429307,-1.979559886,-0.251429307,0.100773594,0.002664078,-0.006164366,-0.024399763,-0.00451795,-0.001130122,-0.001515531,-0.000523469,-1.860362211,-1.974423899,-1.860362211,0.26390947,-0.266397269,-1.974423899,-0.266397269,0.083231979,0.002484461,-0.019905626,-0.024431278,-0.005268497,-0.001104737,-0.002470354,0.956122449,0.744897959,0.006122449,0.744897959,0.521428571,0.862244898,0.006122449,0.862244898,0.865306122,0.710204082,0.956122449,0.705102041,0.148979592,0.624489796,0.940816327,0.976530612,0.83877551,0.024489796,0.83877551,0.707142857,0.913265306,0.024489796,0.913265306,0.93877551,0.770408163,0.978571429,0.769387755,0.173469388,0.68877551,0.970408163,0.953061224,0.959183673,0.957142857,0.954081633
17,500,3.141592654,1,0.002030438,-1.902628858,-1.971442081,-1.902628858,0.327502828,-0.290559461,-1.971442081,-0.290559461,0.090352796,0.004475128,-0.003575184,-0.05350581,-0.003101477,-0.002030432,-0.006380067,-0.000540157,-1.897956612,-1.969464468,-1.897956612,0.31904275,-0.293142221,-1.969464468,-0.293142221,0.085068994,0.004459231,-0.004236542,-0.053477579,-0.003078141,-0.002032873,-0.006513098,-0.004673541,-1.888978775,-1.967948326,-1.888978775,0.302843213,-0.298668524,-1.967948326,-0.298668524,0.073596197,0.004639762,-0.012030145,-0.053283985,-0.003425214,-0.002009738,-0.006691178,0.957,0.661,0,0.661,0.414,0.79,0,0.79,0.885,0.859,0.953,0.739,0.251,0.796,0.93,0.98,0.74,0,0.74,0.608,0.852,0,0.852,0.942,0.914,0.976,0.8,0.286,0.865,0.959,0.957,0.889,0.951,0.941
33,500,3.141592654,1,0.002775223,-1.898001193,-1.956467525,-1.898001193,0.198386,-0.240799625,-1.956467525,-0.240799625,0.060843336,0.002687336,-0.003779078,-0.037046012,-0.00333281,-0.001417518,-0.002386864,0.00038057,-1.89104129,-1.953520029,-1.89104129,0.192756302,-0.243212866,-1.953520029,-0.243212866,0.056913493,0.002671098,-0.005047139,-0.037036953,-0.003423926,-0.001407193,-0.002483769,-0.001701525,-1.870275617,-1.94795774,-1.870275617,0.18247354,-0.247993436,-1.94795774,-0.247993436,0.048734651,0.002645135,-0.018450583,-0.036930695,-0.003987676,-0.001366937,-0.003216053,0.954545455,0.527272727,0,0.527272727,0.632323232,0.727272727,0,0.727272727,0.888888889,0.803030303,0.951515152,0.716161616,0.187878788,0.715151515,0.931313131,0.97979798,0.638383838,0,0.638383838,0.773737374,0.815151515,0,0.815151515,0.94040404,0.85959596,0.976767677,0.773737374,0.222222222,0.780808081,0.961616162,0.961616162,0.925252525,0.948484848,0.948484848
65,500,3.141592654,1,0.002736019,-1.904833311,-1.961475489,-1.904833311,0.122244711,-0.216722957,-1.961475489,-0.216722957,0.048518247,0.002030422,-0.00408619,-0.023603541,-0.003572775,-0.00105628,-0.001074834,0.000435612,-1.896120713,-1.958187586,-1.896120713,0.118089674,-0.21936039,-1.958187586,-0.21936039,0.045248597,0.002025639,-0.005462979,-0.023601969,-0.003639002,-0.001043122,-0.001161903,-7.12E-05,-1.875578247,-1.951047433,-1.875578247,0.110351899,-0.224463093,-1.951047433,-0.224463093,0.038193622,0.001955694,-0.020611151,-0.023482578,-0.003751259,-0.001003934,-0.002155729,0.952,0.399,0,0.399,0.789,0.704,0,0.704,0.893,0.725,0.951,0.669,0.129,0.606,0.942,0.978,0.506,0,0.506,0.887,0.786,0,0.786,0.944,0.795,0.98,0.729,0.147,0.66,0.967,0.96,0.915,0.95,0.956
17,1000,3.141592654,1,-0.000514484,-1.869731277,-1.954370703,-1.869731277,0.185178054,-0.255465014,-1.954370703,-0.255465014,0.044212909,0.003483325,-0.001715808,-0.049982977,-0.001588407,-0.001740959,-0.003890643,-0.001602396,-1.867158628,-1.952762074,-1.867158628,0.181548377,-0.256879776,-1.952762074,-0.256879776,0.041718021,0.003458586,-0.001785429,-0.050019751,-0.001571207,-0.001737435,-0.004035126,-0.003028863,-1.859551357,-1.94825176,-1.859551357,0.174186885,-0.258685332,-1.94825176,-0.258685332,0.037070489,0.003089889,-0.003400959,-0.050114561,-0.000796157,-0.001683421,-0.004339193,0.958,0.364,0,0.364,0.654,0.646,0,0.646,0.927,0.859,0.955,0.658,0.268,0.795,0.93,0.976,0.473,0,0.473,0.785,0.733,0,0.733,0.956,0.915,0.98,0.732,0.297,0.844,0.955,0.954,0.827,0.955,0.941
33,1000,3.141592654,1,-0.000400254,-1.866487291,-1.961592588,-1.866487291,0.100547206,-0.226252249,-1.961592588,-0.226252249,0.028713559,0.001985244,-0.001534969,-0.038452978,-0.001414575,-0.001211317,-0.001392188,-0.001478738,-1.863079197,-1.959590627,-1.863079197,0.098062225,-0.227535968,-1.959590627,-0.227535968,0.026829713,0.002010282,-0.001472348,-0.038490911,-0.001438968,-0.00120297,-0.001448313,-0.002719795,-1.850598489,-1.953166278,-1.850598489,0.093720268,-0.22974235,-1.953166278,-0.22974235,0.023707116,0.002055187,0.002825623,-0.03866001,-0.001141711,-0.001147796,-0.00146634,0.961616162,0.213131313,0,0.213131313,0.788888889,0.536363636,0,0.536363636,0.93030303,0.794949495,0.953535354,0.6,0.197979798,0.718181818,0.938383838,0.97979798,0.318181818,0,0.318181818,0.896969697,0.655555556,0,0.655555556,0.966666667,0.860606061,0.97979798,0.682828283,0.224242424,0.773737374,0.963636364,0.934343434,0.846464646,0.956565657,0.950505051
65,1000,3.141592654,1,0.000224452,-1.887709082,-1.965032913,-1.887709082,0.059045175,-0.210076171,-1.965032913,-0.210076171,0.022577164,0.001074414,-0.00121205,-0.024759935,-0.001087149,-0.000830237,-0.00047,-0.000805604,-1.883774533,-1.96268048,-1.883774533,0.057044976,-0.211122573,-1.96268048,-0.211122573,0.020949445,0.001112564,-0.000872629,-0.024772582,-0.001135144,-0.000821889,-0.000500537,-0.000970443,-1.876433129,-1.952605156,-1.876433129,0.054016005,-0.211474129,-1.952605156,-0.211474129,0.01846404,0.00129105,0.003349344,-0.024763934,-0.002172267,-0.000805341,-0.000709506,0.96,0.116,0,0.116,0.875,0.436,0,0.436,0.919,0.738,0.956,0.611,0.138,0.609,0.939,0.979,0.17,0,0.17,0.929,0.547,0,0.547,0.962,0.805,0.975,0.67,0.16,0.673,0.964,0.947,0.903,0.959,0.95
