t,n,phi,convergence,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean mu.M,bias.mean phi,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median mu.M,bias.median phi,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode mu.M,bias.mode phi,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp mu.M,cover.qbp phi,cover.qbp sigma2," cover.hpd Cov[1,1]"," cover.hpd Cov[2,1]"," cover.hpd Cov[3,1]"," cover.hpd Cov[1,2]"," cover.hpd Cov[2,2]"," cover.hpd Cov[3,2]"," cover.hpd Cov[1,3]"," cover.hpd Cov[2,3]"," cover.hpd Cov[3,3]", cover.hpd R, cover.hpd mu.D, cover.hpd mu.M, cover.hpd phi, cover.hpd sigma2,ci.R,ci.mu.M,ci.phi
33,1000,0.24,1,0.002948346,0.813135075,-0.116171998,0.813135075,0.402822949,0.102400452,-0.116171998,0.102400452,-0.14064129,0.000516444,0.004276342,0.00374587,-0.011343448,-0.001344388,0.00169809,0.807567774,-0.118809057,0.807567774,0.399938977,0.100353242,-0.118809057,0.100353242,-0.142176054,0.000522331,0.003802952,0.003767504,-0.011351036,-0.001360835,-0.001738165,0.794236995,-0.125779192,0.794236995,0.394165835,0.096791902,-0.125779192,0.096791902,-0.144867615,0.000554302,-0.001813149,0.0038341,-0.011332549,-0.001181375,0.949,0.795,0.919,0.795,0.004,0.882,0.919,0.882,0.322,0.822,0.952,0.192,0.705,0.943,0.975,0.854,0.95,0.854,0.01,0.926,0.95,0.926,0.411,0.869,0.976,0.216,0.781,0.963,0.951,0.952,0.953
65,1000,0.24,1,0.002812715,0.783312506,-0.116771645,0.783312506,0.373561217,0.132534932,-0.116771645,0.132534932,-0.150554655,1.80E-05,0.004513743,0.003942057,-0.007415425,-0.000394277,0.001663905,0.779806069,-0.119135603,0.779806069,0.371293294,0.130611337,-0.119135603,0.130611337,-0.151890127,2.41E-05,0.003886488,0.003984417,-0.007411431,-0.000393952,-0.001109947,0.767886502,-0.126200915,0.767886502,0.367020278,0.127808753,-0.126200915,0.127808753,-0.154558868,2.73E-05,-0.000703938,0.004173195,-0.007399746,-0.000237002,0.947,0.782,0.911,0.782,0.002,0.779,0.911,0.779,0.149,0.731,0.957,0.137,0.617,0.935,0.974,0.858,0.939,0.858,0.002,0.857,0.939,0.857,0.205,0.8,0.973,0.158,0.674,0.962,0.968,0.959,0.948
17,100,1.570796327,1,0.028084176,2.910038249,-1.236741845,2.910038249,2.016724394,-1.577930313,-1.236741845,-1.577930313,-0.092687598,0.006380172,0.001872463,-8.20E-05,-0.004059238,-0.012176472,0.013724746,2.813118456,-1.234111507,2.813118456,1.957090656,-1.563317501,-1.234111507,-1.563317501,-0.113171234,0.006327061,0.002107837,-0.000139383,-0.004108381,-0.012958313,-0.01266515,2.6311861,-1.227331856,2.6311861,1.84645867,-1.537670187,-1.227331856,-1.537670187,-0.151076677,0.005674852,0.009010493,-0.000152643,-0.004176467,-0.014810548,0.964,0.873,0.669,0.873,0,0.088,0.669,0.088,0.995,0.89,0.958,0.273,0.804,0.936,0.984,0.94,0.79,0.94,0,0.192,0.79,0.192,0.998,0.936,0.979,0.306,0.85,0.96,0.977,0.955,0.959
33,100,1.570796327,1,0.02713488,2.771332172,-1.21542835,2.771332172,1.796189924,-1.663025427,-1.21542835,-1.663025427,-0.242755799,0.002372853,0.002792671,0.000626371,-0.002451116,-0.005099777,0.013056361,2.683225663,-1.212532355,2.683225663,1.747390004,-1.648043887,-1.212532355,-1.648043887,-0.25684307,0.002342007,0.003165506,0.000620321,-0.002459525,-0.005547947,-0.014597779,2.528178335,-1.206658676,2.528178335,1.659151606,-1.621385764,-1.206658676,-1.621385764,-0.284483666,0.001959663,0.010347151,0.000229775,-0.002403618,-0.006339871,0.96,0.86,0.523,0.86,0,0.005,0.523,0.005,0.717,0.832,0.96,0.193,0.709,0.936,0.984,0.931,0.68,0.931,0,0.014,0.68,0.014,0.783,0.872,0.982,0.222,0.759,0.967,0.972,0.955,0.961
65,100,1.570796327,1,0.026018064,2.902019717,-1.198613279,2.902019717,1.707136046,-1.711994709,-1.198613279,-1.711994709,-0.329183063,0.000584631,0.001237713,-0.000550925,-0.000836373,-0.002101425,0.012105737,2.812086209,-1.196552481,2.812086209,1.664291337,-1.697362461,-1.196552481,-1.697362461,-0.340094591,0.000576865,0.001951025,-0.000519247,-0.000838984,-0.002347277,-0.016063864,2.640996722,-1.195290307,2.640996722,1.590490876,-1.673865556,-1.195290307,-1.673865556,-0.361902877,0.000339609,0.013163295,-3.79E-05,-0.000774253,-0.003096017,0.961616162,0.815151515,0.393939394,0.815151515,0,0,0.393939394,0,0.232323232,0.724242424,0.95959596,0.127272727,0.58989899,0.954545455,0.985858586,0.911111111,0.534343434,0.911111111,0,0.001010101,0.534343434,0.001010101,0.305050505,0.785858586,0.981818182,0.147474747,0.647474747,0.976767677,0.964646465,0.957575758,0.963636364
17,200,1.570796327,1,0.015328724,3.025410587,-1.223243878,3.025410587,1.684470941,-1.633915929,-1.223243878,-1.633915929,-0.270794927,0.004768225,0.00075479,0.002250569,-0.003243116,-0.009662059,0.008880826,2.97900654,-1.22220879,2.97900654,1.656065793,-1.624285116,-1.22220879,-1.624285116,-0.28033767,0.004786779,0.001710046,0.002344295,-0.003286582,-0.010046428,-0.004193376,2.885846701,-1.221938963,2.885846701,1.600654709,-1.608298531,-1.221938963,-1.608298531,-0.299190962,0.004799284,0.00995406,0.003844896,-0.003446713,-0.010720519,0.961,0.747,0.334,0.747,0,0,0.334,0,0.489,0.883,0.961,0.295,0.806,0.933,0.985,0.831,0.45,0.831,0,0,0.45,0,0.575,0.931,0.977,0.328,0.86,0.965,0.968,0.957,0.953
33,200,1.570796327,1,0.015510938,2.891217195,-1.235879037,2.891217195,1.545718269,-1.69696613,-1.235879037,-1.69696613,-0.380990197,0.002465064,0.001415702,0.002567017,-0.002190172,-0.003921951,0.009011419,2.842871951,-1.233953073,2.842871951,1.523448577,-1.688543727,-1.233953073,-1.688543727,-0.387375938,0.002548673,0.002641229,0.002508408,-0.00223823,-0.004145729,-0.005969889,2.749053171,-1.230979952,2.749053171,1.481070077,-1.674668412,-1.230979952,-1.674668412,-0.399467485,0.002995716,0.018696764,0.002204091,-0.002377118,-0.004745247,0.948484848,0.701010101,0.144444444,0.701010101,0,0,0.144444444,0,0.022222222,0.825252525,0.95959596,0.204040404,0.717171717,0.945454545,0.977777778,0.82020202,0.22020202,0.82020202,0,0,0.22020202,0,0.035353535,0.882828283,0.974747475,0.231313131,0.777777778,0.965656566,0.968686869,0.955555556,0.948484848
65,200,1.570796327,1,0.014408541,2.863828119,-1.225523904,2.863828119,1.485580179,-1.745320988,-1.225523904,-1.745320988,-0.44338318,0.001051685,0.001333835,0.002615717,-0.001028689,-0.001424982,0.007820737,2.818767502,-1.223803958,2.818767502,1.465744256,-1.737277683,-1.223803958,-1.737277683,-0.448269799,0.001119821,0.002412666,0.002615341,-0.001022687,-0.001511995,-0.005973797,2.735364935,-1.219727451,2.735364935,1.425861543,-1.724543774,-1.219727451,-1.724543774,-0.45811289,0.001436421,0.021107321,0.003369165,-0.000971516,-0.002123577,0.954,0.676,0.066,0.676,0,0,0.066,0,0,0.725,0.958,0.151,0.604,0.94,0.978,0.798,0.109,0.798,0,0,0.109,0,0,0.8,0.974,0.184,0.663,0.972,0.949,0.953,0.949
17,500,1.570796327,1,0.005088539,2.821991836,-1.22361669,2.821991836,1.430280536,-1.701160967,-1.22361669,-1.701160967,-0.415286094,0.002461405,0.002692294,0.003555879,-0.002917293,-0.00640011,0.002262704,2.806437275,-1.222726625,2.806437275,1.419354098,-1.697217013,-1.222726625,-1.697217013,-0.419202574,0.002433054,0.002862309,0.003564652,-0.002900507,-0.006572618,-0.002622811,2.781031191,-1.220660432,2.781031191,1.398821468,-1.688995521,-1.220660432,-1.688995521,-0.4270544,0.002432778,0.00492728,0.003341933,-0.002837006,-0.006667303,0.951,0.468,0.017,0.468,0,0,0.017,0,0,0.861,0.959,0.305,0.783,0.934,0.983,0.592,0.031,0.592,0,0,0.031,0,0,0.913,0.973,0.344,0.831,0.961,0.953,0.955,0.933
33,500,1.570796327,1,0.005470769,2.85858381,-1.218892364,2.85858381,1.368911122,-1.750345366,-1.218892364,-1.750345366,-0.485989172,0.001031436,0.002565187,0.002942806,-0.001800487,-0.002321213,0.002819417,2.8436878,-1.218118944,2.8436878,1.360560509,-1.746812533,-1.218118944,-1.746812533,-0.488584627,0.001019304,0.002609693,0.002995363,-0.001797564,-0.00241482,-0.001723703,2.824930982,-1.216377065,2.824930982,1.345131978,-1.739800099,-1.216377065,-1.739800099,-0.493461139,0.001103844,0.003770649,0.004045409,-0.001794139,-0.002368608,0.944,0.35,0.002,0.35,0,0,0.002,0,0,0.832,0.956,0.223,0.683,0.929,0.973,0.477,0.006,0.477,0,0,0.006,0,0,0.872,0.975,0.251,0.737,0.954,0.949,0.955,0.945
65,500,1.570796327,1,0.005650576,2.869735491,-1.231626056,2.869735491,1.336436204,-1.777640369,-1.231626056,-1.777640369,-0.516964828,0.000348266,0.002928277,0.003219172,-0.001196958,-0.000903265,0.003053391,2.855151198,-1.230987207,2.855151198,1.329160061,-1.774146404,-1.230987207,-1.774146404,-0.51888882,0.000330619,0.003118115,0.003248119,-0.001189031,-0.000936584,-0.000996597,2.836527487,-1.230593897,2.836527487,1.315261538,-1.767038123,-1.230593897,-1.767038123,-0.522633249,0.00029381,0.009396965,0.003890972,-0.001198518,-0.000695803,0.946,0.287,0,0.287,0,0,0,0,0,0.733,0.953,0.168,0.565,0.937,0.977,0.404,0,0.404,0,0,0,0,0,0.785,0.979,0.185,0.632,0.973,0.954,0.953,0.939
17,1000,1.570796327,1,0.002980121,2.866845832,-1.223646443,2.866845832,1.346242529,-1.730788462,-1.223646443,-1.730788462,-0.483143035,0.000585964,0.004457035,0.003910995,-0.00241235,-0.004290401,0.001583741,2.860558315,-1.223435519,2.860558315,1.341171115,-1.728914437,-1.223435519,-1.728914437,-0.484732884,0.000597239,0.00399719,0.003983044,-0.00241801,-0.004389413,-0.002317327,2.849288247,-1.223737666,2.849288247,1.331703614,-1.725699033,-1.223737666,-1.725699033,-0.487830784,0.000712265,0.00412493,0.005103709,-0.002338981,-0.004377428,0.943434343,0.137373737,0,0.137373737,0,0,0,0,0,0.901010101,0.946464646,0.266666667,0.788888889,0.925252525,0.96969697,0.22020202,0,0.22020202,0,0,0,0,0,0.948484848,0.977777778,0.303030303,0.847474747,0.955555556,0.972727273,0.948484848,0.952525253
33,1000,1.570796327,1,0.002929087,2.883411021,-1.224479702,2.883411021,1.311226697,-1.771935445,-1.224479702,-1.771935445,-0.525363823,0.000655667,0.004294534,0.003751838,-0.001800907,-0.001362128,0.001513671,2.878067805,-1.224403585,2.878067805,1.307238356,-1.770272352,-1.224403585,-1.770272352,-0.526457891,0.000668096,0.003913604,0.003740605,-0.001809395,-0.00137582,-0.002911185,2.86824169,-1.224387276,2.86824169,1.299194268,-1.767009517,-1.224387276,-1.767009517,-0.528447209,0.000682401,0.003185584,0.00381986,-0.001829381,-0.00114002,0.949,0.083,0,0.083,0,0,0,0,0,0.812,0.952,0.192,0.692,0.941,0.973,0.146,0,0.146,0,0,0,0,0,0.865,0.974,0.215,0.769,0.965,0.952,0.952,0.944
65,1000,1.570796327,1,0.002787162,2.860068175,-1.225894655,2.860068175,1.298925936,-1.789411379,-1.225894655,-1.789411379,-0.546090591,0.000112371,0.004569087,0.003943049,-0.001019311,-0.000400854,0.001375555,2.855028787,-1.225513506,2.855028787,1.295311385,-1.787821132,-1.225513506,-1.787821132,-0.546900105,0.000128342,0.004242823,0.003942704,-0.001028019,-0.00040065,-0.002967652,2.855166847,-1.224461143,2.855166847,1.287595481,-1.784757463,-1.224461143,-1.784757463,-0.548384802,0.000235879,0.003263587,0.004052788,-0.001056932,-0.000206683,0.947,0.05,0,0.05,0,0,0,0,0,0.738,0.959,0.137,0.597,0.935,0.974,0.095,0,0.095,0,0,0,0,0,0.79,0.974,0.154,0.672,0.962,0.959,0.959,0.952
17,100,3.141592654,1,0.028356683,-1.804491755,-2.01300279,-1.804491755,1.055982926,-0.404591178,-2.01300279,-0.404591178,0.310054115,0.00588961,0.001623972,-0.000300235,-0.001861682,-0.01211052,0.013673074,-1.801615312,-1.993906414,-1.801615312,1.012307668,-0.419729667,-1.993906414,-0.419729667,0.282889295,0.005815377,0.001285165,-0.000463129,-0.001854354,-0.012835831,-0.014080417,-1.799823896,-1.957994051,-1.799823896,0.931066907,-0.447497128,-1.957994051,-0.447497128,0.232532408,0.005309044,0.002575024,-0.001541549,-0.001744094,-0.013774052,0.961616162,0.949494949,0.344444444,0.949494949,0.002020202,0.965656566,0.344444444,0.965656566,0.849494949,0.87979798,0.957575758,0.273737374,0.829292929,0.935353535,0.982828283,0.980808081,0.470707071,0.980808081,0.066666667,0.98989899,0.470707071,0.98989899,0.946464646,0.921212121,0.97979798,0.312121212,0.881818182,0.960606061,0.96969697,0.955555556,0.96969697
