t,n,phi,convergence,true.R,true.mu.M,true.phi,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean mu.M,bias.mean phi,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median mu.M,bias.median phi,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode mu.M,bias.mode phi,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp mu.M,cover.qbp phi,cover.qbp sigma2," cover.hpd Cov[1,1]"," cover.hpd Cov[2,1]"," cover.hpd Cov[3,1]"," cover.hpd Cov[1,2]"," cover.hpd Cov[2,2]"," cover.hpd Cov[3,2]"," cover.hpd Cov[1,3]"," cover.hpd Cov[2,3]"," cover.hpd Cov[3,3]", cover.hpd R, cover.hpd mu.D, cover.hpd mu.M, cover.hpd phi, cover.hpd sigma2,ci.R,ci.mu.M,ci.phi
33,1000,1.570796327,1,1.025720487,-0.399942915,1.590632939,0.002334923,0.0197654,0.034215021,0.0197654,0.046197068,-0.039387095,0.034215021,-0.039387095,0.046214232,0.000573033,0.001994978,0.001380689,-0.000423222,-0.00054585,0.000955702,0.020489573,0.035035116,0.020489573,0.044184077,-0.041465635,0.035035116,-0.041465635,0.044174601,0.000583257,0.001380666,0.001412434,-0.000428116,-0.000558343,-0.003249162,0.027304381,0.040652712,0.027304381,0.039978054,-0.044811022,0.040652712,-0.044811022,0.039900912,0.000622454,-0.00391106,0.001750201,-0.000459833,-0.000378316,0.947,0.945,0.952,0.945,0.915,0.952,0.952,0.952,0.917,0.778,0.947,0.205,0.759,0.96,0.98,0.969,0.974,0.969,0.963,0.976,0.974,0.976,0.955,0.828,0.97,0.229,0.799,0.978,0.951,0.948,0.946
65,1000,1.570796327,1,1.025718457,-0.400164533,1.590640922,0.001588384,0.035482139,0.036608596,0.035482139,0.035794681,-0.009855406,0.036608596,-0.009855406,0.036471175,0.000157546,0.003269215,0.002608329,-4.96E-05,-0.000209282,0.000276966,0.036653182,0.036018652,0.036653182,0.034034149,-0.012025672,0.036018652,-0.012025672,0.034806278,0.000158998,0.00264595,0.002630556,-5.55E-05,-0.000208298,-0.003195147,0.046106032,0.032111465,0.046106032,0.029954859,-0.015804357,0.032111465,-0.015804357,0.032037717,8.60E-05,-0.003621409,0.002405783,-7.34E-05,-4.54E-05,0.947,0.942,0.955,0.942,0.919,0.95,0.955,0.95,0.891,0.633,0.946,0.134,0.637,0.946,0.962,0.974,0.979,0.974,0.951,0.976,0.979,0.976,0.956,0.698,0.974,0.148,0.699,0.969,0.951,0.95,0.942
17,100,3.141592654,1,1.025711842,-0.400083003,3.121719648,0.024930699,0.204770831,0.063915495,0.204770831,0.5441074,-0.234316464,0.063915495,-0.234316464,0.576487279,0.009930322,0.012150935,0.010198468,0.001166776,-0.00811697,0.010634359,0.161775075,0.049526897,0.161775075,0.512278274,-0.253547554,0.049526897,-0.253547554,0.542670349,0.009875296,0.012387663,0.010090129,0.001162736,-0.008904772,-0.015516423,0.080132502,0.023270077,0.080132502,0.451624018,-0.286422827,0.023270077,-0.286422827,0.476450533,0.009906776,0.018275546,0.009410813,0.001148819,-0.010649497,0.957575758,0.976767677,0.96969697,0.976767677,0.508080808,0.986868687,0.96969697,0.986868687,0.470707071,0.839393939,0.961616162,0.256565657,0.854545455,0.947474747,0.983838384,0.991919192,0.993939394,0.991919192,0.750505051,0.995959596,0.993939394,0.995959596,0.741414141,0.880808081,0.97979798,0.290909091,0.890909091,0.968686869,0.956565657,0.95959596,0.976767677
33,100,3.141592654,1,1.025638556,-0.399942915,3.121711104,0.018579881,0.059804111,-0.064074539,0.059804111,0.38846056,-0.137126938,-0.064074539,-0.137126938,0.400374382,0.005000876,0.012863198,0.010907006,0.001282347,-0.00418082,0.004729657,0.025664633,-0.07333483,0.025664633,0.363244266,-0.156276515,-0.07333483,-0.156276515,0.375681238,0.004973576,0.013107069,0.010912571,0.001282263,-0.004629697,-0.02121228,-0.040230904,-0.071948085,-0.040230904,0.316178603,-0.190573313,-0.071948085,-0.190573313,0.32793172,0.004840381,0.018600741,0.011167829,0.00130829,-0.005373569,0.966666667,0.970707071,0.963636364,0.970707071,0.649494949,0.980808081,0.963636364,0.980808081,0.601010101,0.755555556,0.947474747,0.217171717,0.757575758,0.939393939,0.982828283,0.98989899,0.982828283,0.98989899,0.834343434,0.987878788,0.982828283,0.987878788,0.824242424,0.815151515,0.970707071,0.239393939,0.818181818,0.967676768,0.958585859,0.945454545,0.956565657
65,100,3.141592654,1,1.025648059,-0.400164533,3.121666545,0.019410584,0.192267877,-0.000833696,0.192267877,0.297586932,-0.085924318,-0.000833696,-0.085924318,0.309935743,0.001985458,-0.000114431,-0.001714553,0.000514178,-0.000989148,0.005717262,0.156675295,-0.009563707,0.156675295,0.276323208,-0.104342144,-0.009563707,-0.104342144,0.289370425,0.001974929,0.000341836,-0.001714245,0.000510522,-0.001233595,-0.020732805,0.090032021,-0.014621483,0.090032021,0.239994774,-0.135295737,-0.014621483,-0.135295737,0.249912666,0.001979823,0.009574076,-0.001731105,0.000510655,-0.001978222,0.95959596,0.962626263,0.966666667,0.962626263,0.703030303,0.983838384,0.966666667,0.983838384,0.684848485,0.634343434,0.950505051,0.150505051,0.618181818,0.956565657,0.981818182,0.981818182,0.986868687,0.981818182,0.868686869,0.991919192,0.986868687,0.991919192,0.847474747,0.701010101,0.975757576,0.170707071,0.673737374,0.975757576,0.946464646,0.948484848,0.957575758
17,200,3.141592654,1,1.025711842,-0.400083003,3.121719648,0.012226308,0.142767556,0.052579361,0.142767556,0.309479039,-0.187276467,0.052579361,-0.187276467,0.328880003,0.005654578,-1.94E-05,0.001614543,0.000810552,-0.005935186,0.005800552,0.126800708,0.045743355,0.126800708,0.29486002,-0.198557464,0.045743355,-0.198557464,0.313184207,0.005623063,0.001268919,0.001583878,0.000805134,-0.006325341,-0.006813391,0.094192895,0.029526425,0.094192895,0.266817419,-0.218659334,0.029526425,-0.218659334,0.281811307,0.005739492,0.013612589,0.002560224,0.000787109,-0.007042221,0.953535354,0.966666667,0.967676768,0.966666667,0.704040404,0.962626263,0.967676768,0.962626263,0.66969697,0.83030303,0.946464646,0.267676768,0.844444444,0.938383838,0.972727273,0.988888889,0.992929293,0.988888889,0.843434343,0.978787879,0.992929293,0.978787879,0.827272727,0.878787879,0.974747475,0.31010101,0.897979798,0.963636364,0.951515152,0.942424242,0.966666667
33,200,3.141592654,1,1.025638556,-0.399942915,3.121711104,0.005993939,0.032228513,-0.03487537,0.032228513,0.21070701,-0.108411433,-0.03487537,-0.108411433,0.208478399,0.002046041,0.007257508,0.008522503,0.000535734,-0.002447401,-0.000300918,0.01579055,-0.043657041,0.01579055,0.199629193,-0.118927131,-0.043657041,-0.118927131,0.196991503,0.002020441,0.008493344,0.008386594,0.000517752,-0.002673679,-0.012686509,-0.006592024,-0.055362586,-0.006592024,0.178849352,-0.136994087,-0.055362586,-0.136994087,0.174418233,0.001856474,0.02676206,0.007131557,0.000454553,-0.003297742,0.957575758,0.954545455,0.978787879,0.954545455,0.785858586,0.964646465,0.978787879,0.964646465,0.775757576,0.749494949,0.954545455,0.177777778,0.764646465,0.944444444,0.977777778,0.983838384,0.98989899,0.983838384,0.897979798,0.983838384,0.98989899,0.983838384,0.886868687,0.805050505,0.978787879,0.201010101,0.818181818,0.973737374,0.95959596,0.948484848,0.962626263
65,200,3.141592654,1,1.025648059,-0.400164533,3.121666545,0.009488121,0.174659066,0.039026386,0.174659066,0.156869156,-0.059243673,0.039026386,-0.059243673,0.159921099,0.000701044,-0.002823703,-0.001523686,0.000522505,-0.000558023,0.002796234,0.15892264,0.034349396,0.15892264,0.147377523,-0.069365989,0.034349396,-0.069365989,0.150235498,0.000686656,-0.001906845,-0.001580013,0.000502464,-0.000647306,-0.011284158,0.132952603,0.033506543,0.132952603,0.129370806,-0.089087664,0.033506543,-0.089087664,0.129938234,0.000490141,0.01826045,-0.001274823,0.000392897,-0.0013307,0.953,0.961,0.968,0.961,0.808,0.963,0.968,0.963,0.805,0.642,0.952,0.143,0.642,0.961,0.975,0.984,0.983,0.984,0.908,0.977,0.983,0.977,0.9,0.7,0.973,0.157,0.717,0.979,0.95,0.948,0.951
17,500,3.141592654,1,1.025711842,-0.400083003,3.121719648,0.005532305,0.042928966,-0.048875342,0.042928966,0.144845962,-0.109607393,-0.048875342,-0.109607393,0.153766232,0.002546811,0.003140585,0.00387445,0.000323707,-0.003893081,0.002725402,0.038280189,-0.051660681,0.038280189,0.139069904,-0.114080786,-0.051660681,-0.114080786,0.147502446,0.002541802,0.002924773,0.003899554,0.000322728,-0.004066735,-0.002460246,0.038171857,-0.055195536,0.038171857,0.127916084,-0.123574143,-0.055195536,-0.123574143,0.135375982,0.002650279,-0.00230206,0.003693687,0.000331573,-0.004200156,0.932,0.956,0.97,0.956,0.825,0.948,0.97,0.948,0.808,0.831,0.931,0.261,0.847,0.955,0.961,0.98,0.984,0.98,0.901,0.975,0.984,0.975,0.903,0.885,0.961,0.296,0.894,0.981,0.955,0.93,0.96
33,500,3.141592654,1,1.025638556,-0.399942915,3.121711104,0.006290667,0.006518971,-0.003785091,0.006518971,0.090336825,-0.055880734,-0.003785091,-0.055880734,0.09106447,0.001399178,0.002124207,0.002424587,0.000348061,-0.001204301,0.003643107,0.00340411,-0.004390224,0.00340411,0.086298852,-0.060213018,-0.004390224,-0.060213018,0.086662652,0.001404987,0.001889842,0.002472821,0.000352172,-0.001300033,-0.0010212,0.007715157,0.006365149,0.007715157,0.078827171,-0.069771675,0.006365149,-0.069771675,0.078567107,0.001493444,-0.000429292,0.004089686,0.000347701,-0.001298235,0.941,0.948,0.962,0.948,0.875,0.951,0.962,0.951,0.881,0.759,0.943,0.202,0.757,0.959,0.969,0.976,0.986,0.976,0.931,0.972,0.986,0.972,0.94,0.815,0.972,0.232,0.819,0.979,0.96,0.943,0.958
65,500,3.141592654,1,1.025648059,-0.400164533,3.121666545,0.003022032,0.05467598,0.022004476,0.05467598,0.064323055,-0.023963477,0.022004476,-0.023963477,0.068972442,0.000721518,0.000464973,0.000684062,0.000190873,-0.000225403,0.000411293,0.051928954,0.022084068,0.051928954,0.060951045,-0.028195748,0.022084068,-0.028195748,0.065406021,0.000729322,0.000265009,0.000720681,0.000194718,-0.00025901,-0.00428442,0.059774763,0.04047281,0.059774763,0.055300388,-0.037816808,0.04047281,-0.037816808,0.059143986,0.000759024,0.000610774,0.001341192,0.000193484,-2.43E-05,0.956565657,0.960606061,0.952525253,0.960606061,0.898989899,0.955555556,0.952525253,0.955555556,0.867676768,0.655555556,0.955555556,0.15959596,0.662626263,0.951515152,0.978787879,0.982828283,0.981818182,0.982828283,0.946464646,0.975757576,0.981818182,0.975757576,0.939393939,0.725252525,0.973737374,0.176767677,0.716161616,0.972727273,0.943434343,0.953535354,0.953535354
17,1000,3.141592654,1,1.025711842,-0.400083003,3.121719648,0.003172675,0.037229992,-0.02383863,0.037229992,0.077879843,-0.075234506,-0.02383863,-0.075234506,0.080458142,0.001336728,0.001561572,0.000944657,0.000326256,-0.002564449,0.001784478,0.036674588,-0.023234829,0.036674588,0.075342254,-0.07758322,-0.023234829,-0.07758322,0.077819869,0.001321442,0.001152152,0.000996023,0.000324476,-0.002655114,-0.002196677,0.033038863,-0.020529774,0.033038863,0.070228034,-0.082381725,-0.020529774,-0.082381725,0.072640753,0.00115121,-0.000833527,0.001436857,0.000315341,-0.002630675,0.945,0.962,0.96,0.962,0.879,0.937,0.96,0.937,0.891,0.848,0.962,0.263,0.848,0.953,0.971,0.981,0.979,0.981,0.945,0.961,0.979,0.961,0.949,0.898,0.984,0.31,0.893,0.975,0.948,0.962,0.95
33,1000,3.141592654,1,1.025638556,-0.399942915,3.121711104,0.002334924,0.019765416,0.034215083,0.019765416,0.046197093,-0.039387119,0.034215083,-0.039387119,0.046214223,0.000734857,0.00199503,0.001380689,0.000266873,-0.000545851,0.000955702,0.020489575,0.035035114,0.020489575,0.044184145,-0.041465635,0.035035114,-0.041465635,0.044174601,0.000723834,0.001380718,0.001412434,0.000268588,-0.000558345,-0.003249162,0.027304384,0.040652657,0.027304384,0.039979165,-0.044808963,0.040652657,-0.044808963,0.039900914,0.000618025,-0.00391102,0.001750203,0.000310969,-0.000378316,0.947,0.945,0.952,0.945,0.915,0.952,0.952,0.952,0.917,0.742,0.947,0.205,0.773,0.96,0.98,0.969,0.974,0.969,0.963,0.976,0.974,0.976,0.955,0.795,0.97,0.229,0.82,0.978,0.944,0.948,0.955
65,1000,3.141592654,1,1.025648059,-0.400164533,3.121666545,0.001588383,0.035482033,0.036608782,0.035482033,0.035794674,-0.009855411,0.036608782,-0.009855411,0.036471205,0.000482685,0.003269267,0.002608329,0.000140486,-0.000209282,0.000276966,0.036653236,0.036018861,0.036653236,0.034034148,-0.012025707,0.036018861,-0.012025707,0.03480632,0.0004715,0.002646002,0.002630557,0.000142613,-0.000208299,-0.003195147,0.046106043,0.0321114,0.046106043,0.029954868,-0.01580436,0.0321114,-0.01580436,0.032037719,0.000390956,-0.00362137,0.002405783,0.000178407,-4.55E-05,0.947,0.942,0.955,0.942,0.919,0.95,0.955,0.95,0.891,0.642,0.946,0.134,0.633,0.946,0.962,0.974,0.979,0.974,0.951,0.976,0.979,0.976,0.956,0.721,0.974,0.148,0.691,0.969,0.934,0.95,0.948
