t,n,phi,convergence,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean beta,bias.mean mu.M,bias.mean phi,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median beta,bias.median mu.M,bias.median phi,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode beta,bias.mode mu.M,bias.mode phi,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp beta,cover.qbp mu.M,cover.qbp phi,cover.qbp sigma2," cover.hpd Cov[1,1]"," cover.hpd Cov[2,1]"," cover.hpd Cov[3,1]"," cover.hpd Cov[1,2]"," cover.hpd Cov[2,2]"," cover.hpd Cov[3,2]"," cover.hpd Cov[1,3]"," cover.hpd Cov[2,3]"," cover.hpd Cov[3,3]", cover.hpd R, cover.hpd mu.D, cover.hpd beta, cover.hpd mu.M, cover.hpd phi, cover.hpd sigma2,ci.R,ci.beta,ci.mu.M,ci.phi
17,100,0.24,1,0.029196876,0.938721997,-0.150965125,0.938721997,1.328972434,-0.102165135,-0.150965125,-0.102165135,0.226862181,0.009495584,0.003017362,-0.057639209,0.003482412,-0.034296063,-0.011484443,0.015690171,0.888815685,-0.166500951,0.888815685,1.277264626,-0.12211996,-0.166500951,-0.12211996,0.200686137,0.00946306,0.002971635,-0.057506469,0.00359492,-0.034274033,-0.012689622,-0.00625305,0.799956908,-0.195455741,0.799956908,1.178356661,-0.157589863,-0.195455741,-0.157589863,0.152459602,0.009133037,-0.000384911,-0.057280631,0.003214242,-0.035097882,-0.015524865,0.945,0.965,0.968,0.965,0.001,0.994,0.968,0.994,0.911,0.861,0.954,0.865,0.296,0.83,0.935,0.974,0.991,0.991,0.991,0.012,1,0.991,1,0.972,0.897,0.975,0.922,0.341,0.887,0.962,0.967,0.969,0.951,0.964
33,100,0.24,1,0.031364635,0.830496862,-0.117376233,0.830496862,1.026517583,-0.007686019,-0.117376233,-0.007686019,0.113034199,0.004881009,0.003606505,-0.035666949,0.004046929,-0.023151802,-0.004908881,0.018101445,0.785864109,-0.132989643,0.785864109,0.988569868,-0.027376115,-0.132989643,-0.027376115,0.093534388,0.004875843,0.004055887,-0.035627499,0.00426459,-0.023388839,-0.005504863,-0.003884559,0.716327248,-0.162773779,0.716327248,0.919248461,-0.066848673,-0.162773779,-0.066848673,0.058582624,0.00487386,0.012771332,-0.035943704,0.003879786,-0.024568768,-0.005855676,0.946464646,0.976767677,0.960606061,0.976767677,0.008080808,0.992929293,0.960606061,0.992929293,0.950505051,0.803030303,0.951515152,0.81010101,0.223232323,0.725252525,0.936363636,0.968686869,0.991919192,0.983838384,0.991919192,0.048484848,0.998989899,0.983838384,0.998989899,0.991919192,0.860606061,0.97979798,0.873737374,0.246464646,0.791919192,0.967676768,0.96969697,0.966666667,0.948484848,0.955555556
65,100,0.24,1,0.029747447,0.86184515,-0.120779491,0.86184515,0.873741341,0.079909574,-0.120779491,0.079909574,0.059449726,0.002566064,0.004564283,-0.022111242,0.003857204,-0.015062908,-0.0017719,0.016235902,0.815923083,-0.135729691,0.815923083,0.842677291,0.060243338,-0.135729691,0.060243338,0.043244012,0.002516007,0.00516321,-0.0221159,0.004032565,-0.015287288,-0.001949766,-0.012037841,0.718093244,-0.165037629,0.718093244,0.784383704,0.024052149,-0.165037629,0.024052149,0.015861605,0.002192516,0.020223602,-0.022150318,-0.000384612,-0.015872046,-0.000880846,0.945,0.962,0.959,0.962,0.011,0.985,0.959,0.985,0.956,0.711,0.953,0.71,0.153,0.602,0.954,0.976,0.985,0.984,0.985,0.046,0.996,0.984,0.996,0.984,0.77,0.978,0.786,0.173,0.668,0.973,0.964,0.965,0.949,0.962
17,200,0.24,1,0.009089259,0.799941914,-0.118932826,0.799941914,0.916672708,-0.068764395,-0.118932826,-0.068764395,0.068362427,0.0054938,-0.007434675,-0.052547756,-0.005845889,-0.022503334,-0.009750819,0.002020505,0.784585919,-0.128161912,0.784585919,0.893138515,-0.076542211,-0.128161912,-0.076542211,0.056210439,0.005471794,-0.006771958,-0.05241483,-0.005783363,-0.022604467,-0.010355205,-0.011653951,0.757503916,-0.146151603,0.757503916,0.849584926,-0.092557911,-0.146151603,-0.092557911,0.033826867,0.005689787,-0.002231142,-0.051625233,-0.006090959,-0.021912856,-0.012367649,0.939795918,0.958163265,0.952040816,0.958163265,0.006122449,0.979591837,0.952040816,0.979591837,0.968367347,0.862244898,0.958163265,0.864285714,0.281632653,0.813265306,0.929591837,0.965306122,0.983673469,0.978571429,0.983673469,0.040816327,0.989795918,0.978571429,0.989795918,0.990816327,0.909183673,0.974489796,0.91122449,0.316326531,0.871428571,0.957142857,0.958163265,0.963265306,0.956122449,0.958163265
33,200,0.24,1,0.007239223,0.7074962,-0.133795331,0.7074962,0.716922725,0.023818663,-0.133795331,0.023818663,-0.012728928,0.001443942,-0.00882844,-0.034890862,-0.007158123,-0.013484071,-0.003992986,0.000190723,0.693277221,-0.142313659,0.693277221,0.700297954,0.014198766,-0.142313659,0.014198766,-0.02208391,0.0014584,-0.008531972,-0.034832489,-0.00702772,-0.013648774,-0.004403019,-0.013453958,0.672963617,-0.155585715,0.672963617,0.668252758,-0.005972216,-0.155585715,-0.005972216,-0.040353754,0.001583164,-0.009684725,-0.034919448,-0.007290398,-0.013678278,-0.006572792,0.932,0.958,0.95,0.958,0.014,0.987,0.95,0.987,0.969,0.827,0.954,0.811,0.205,0.749,0.945,0.961,0.983,0.977,0.983,0.058,0.996,0.977,0.996,0.986,0.868,0.974,0.883,0.235,0.803,0.967,0.958,0.972,0.955,0.962
65,200,0.24,1,0.007541744,0.759563719,-0.13713754,0.759563719,0.605763492,0.093106423,-0.13713754,0.093106423,-0.050150936,0.000476162,-0.008201061,-0.023635553,-0.006812239,-0.00877526,-0.001457989,0.000432425,0.745535419,-0.145546281,0.745535419,0.59297387,0.082774161,-0.145546281,0.082774161,-0.058178068,0.000468707,-0.008082175,-0.023620195,-0.006807374,-0.008853529,-0.001636923,-0.014627353,0.707950778,-0.154424249,0.707950778,0.568447748,0.060290669,-0.154424249,0.060290669,-0.074107322,0.000632134,-0.01064674,-0.023580995,-0.007669632,-0.008580771,-0.002584485,0.931,0.939,0.95,0.939,0.024,0.975,0.95,0.975,0.943,0.73,0.955,0.73,0.149,0.589,0.941,0.961,0.98,0.976,0.98,0.061,0.996,0.976,0.996,0.96,0.794,0.975,0.792,0.167,0.649,0.964,0.96,0.964,0.952,0.951
17,500,0.24,1,0.004264892,0.745959167,-0.135533537,0.745959167,0.608377289,0.011995134,-0.135533537,0.011995134,-0.056261522,0.00192506,-0.004432117,-0.053274888,-0.003761815,-0.019489671,-0.006730697,0.001663104,0.739503739,-0.140950178,0.739503739,0.599438463,0.007950595,-0.140950178,0.007950595,-0.060843206,0.001941116,-0.005214162,-0.053255854,-0.003834822,-0.019316155,-0.006868474,-0.004828618,0.73434439,-0.152215004,0.73434439,0.582634277,0.001056665,-0.152215004,0.001056665,-0.071273663,0.002045149,-0.010281577,-0.053058586,-0.002706492,-0.018494937,-0.006966962,0.94742268,0.917525773,0.945360825,0.917525773,0.010309278,0.980412371,0.945360825,0.980412371,0.930927835,0.883505155,0.956701031,0.829896907,0.245360825,0.815463918,0.919587629,0.971134021,0.950515464,0.972164948,0.950515464,0.040206186,0.995876289,0.972164948,0.995876289,0.962886598,0.929896907,0.982474227,0.892783505,0.287628866,0.867010309,0.945360825,0.95257732,0.956701031,0.955670103,0.954639175
33,500,0.24,1,0.004261214,0.740118223,-0.135169275,0.740118223,0.482857309,0.081548071,-0.135169275,0.081548071,-0.0968087,0.000442156,-0.005388136,-0.030512983,-0.004727058,-0.014052785,-0.002594336,0.001773246,0.735588627,-0.139934988,0.735588627,0.47653447,0.077492645,-0.139934988,0.077492645,-0.100243519,0.000431113,-0.006271734,-0.030495553,-0.004835123,-0.014023291,-0.002694749,-0.005156687,0.729005169,-0.147460871,0.729005169,0.464895737,0.06998934,-0.147460871,0.06998934,-0.107373444,0.000202739,-0.01287639,-0.03046588,-0.005508495,-0.01380344,-0.003409444,0.951515152,0.909090909,0.931313131,0.909090909,0.016161616,0.953535354,0.931313131,0.953535354,0.771717172,0.808080808,0.957575758,0.796969697,0.197979798,0.722222222,0.933333333,0.967676768,0.951515152,0.965656566,0.951515152,0.045454545,0.980808081,0.965656566,0.980808081,0.836363636,0.863636364,0.983838384,0.851515152,0.223232323,0.787878788,0.958585859,0.960606061,0.951515152,0.957575758,0.945454545
65,500,0.24,1,0.004527419,0.740745616,-0.13460367,0.740745616,0.429802145,0.120582127,-0.13460367,0.120582127,-0.11759411,-1.71E-05,-0.005286653,-0.021447516,-0.004553613,-0.008513868,-0.001091782,0.002055376,0.737804698,-0.138935765,0.737804698,0.424927347,0.116428957,-0.138935765,0.116428957,-0.120411308,-2.05E-05,-0.006293955,-0.021440726,-0.004640087,-0.008476347,-0.001179361,-0.005991728,0.740548421,-0.142845199,0.740548421,0.415628688,0.108665624,-0.142845199,0.108665624,-0.126095831,-0.000187022,-0.012303361,-0.02148654,-0.004839962,-0.008457028,-0.002158899,0.945454545,0.901010101,0.933333333,0.901010101,0.007070707,0.921212121,0.933333333,0.921212121,0.626262626,0.734343434,0.95959596,0.727272727,0.139393939,0.605050505,0.936363636,0.962626263,0.946464646,0.958585859,0.946464646,0.012121212,0.964646465,0.958585859,0.964646465,0.693939394,0.78989899,0.981818182,0.782828283,0.167676768,0.661616162,0.96969697,0.951515152,0.957575758,0.958585859,0.95959596
17,1000,0.24,1,-0.000569233,0.804227336,-0.109538281,0.804227336,0.483954135,0.071397471,-0.109538281,0.071397471,-0.104393847,0.001787918,-0.003399145,-0.048683267,-0.002684706,-0.01790518,-0.004186508,-0.001965072,0.801076135,-0.112188582,0.801076135,0.479836663,0.069570093,-0.112188582,0.069570093,-0.10693565,0.001815102,-0.003091361,-0.048536819,-0.002542877,-0.017936932,-0.004300824,-0.006616082,0.792853038,-0.116674051,0.792853038,0.471708583,0.067744315,-0.116674051,0.067744315,-0.111745282,0.001657576,-0.000998824,-0.048050068,-0.001292532,-0.017841251,-0.004429576,0.948453608,0.848453608,0.934020619,0.848453608,0.009278351,0.957731959,0.934020619,0.957731959,0.727835052,0.893814433,0.953608247,0.835051546,0.260824742,0.783505155,0.917525773,0.972164948,0.904123711,0.96185567,0.904123711,0.026804124,0.981443299,0.96185567,0.981443299,0.803092784,0.931958763,0.981443299,0.888659794,0.297938144,0.845360825,0.948453608,0.954639175,0.931958763,0.955670103,0.935051546
