t,n,phi,convergence,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean beta,bias.mean mu.M,bias.mean phi,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median beta,bias.median mu.M,bias.median phi,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode beta,bias.mode mu.M,bias.mode phi,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp beta,cover.qbp mu.M,cover.qbp phi,cover.qbp sigma2," cover.hpd Cov[1,1]"," cover.hpd Cov[2,1]"," cover.hpd Cov[3,1]"," cover.hpd Cov[1,2]"," cover.hpd Cov[2,2]"," cover.hpd Cov[3,2]"," cover.hpd Cov[1,3]"," cover.hpd Cov[2,3]"," cover.hpd Cov[3,3]", cover.hpd R, cover.hpd mu.D, cover.hpd beta, cover.hpd mu.M, cover.hpd phi, cover.hpd sigma2,ci.R,ci.beta,ci.mu.M,ci.phi
33,1000,0.24,1,0.000173688,0.816691055,-0.115921509,0.816691055,0.408580675,0.116074467,-0.115921509,0.116074467,-0.130013255,0.001024957,-0.002601902,-0.036155803,-0.001925043,-0.0148541,-0.001358629,-0.001276261,0.81551765,-0.118321399,0.81551765,0.405619852,0.114416671,-0.118321399,0.114416671,-0.131793755,0.001006151,-0.002754321,-0.03608711,-0.001937218,-0.014820743,-0.001410631,-0.006785049,0.819833551,-0.120884514,0.819833551,0.400161847,0.113504185,-0.120884514,0.113504185,-0.13479983,0.000975335,-0.007836562,-0.035901002,-0.00186088,-0.014942284,-0.001450003,0.956,0.81,0.912,0.81,0.001,0.871,0.912,0.871,0.382,0.819,0.96,0.793,0.183,0.696,0.942,0.976,0.877,0.959,0.877,0.01,0.926,0.959,0.926,0.482,0.872,0.978,0.852,0.214,0.753,0.96,0.953,0.939,0.96,0.943
65,1000,0.24,1,-0.000165063,0.814824204,-0.109986893,0.814824204,0.373815003,0.141503419,-0.109986893,0.141503419,-0.138447403,0.000860585,-0.002420608,-0.025038334,-0.001749535,-0.009594385,-0.000477378,-0.001701207,0.813827292,-0.112191143,0.813827292,0.371465041,0.139919971,-0.112191143,0.139919971,-0.139936646,0.000836486,-0.00261238,-0.024996553,-0.001777058,-0.009624578,-0.000509047,-0.007849863,0.8112332,-0.115613316,0.8112332,0.367516226,0.138329272,-0.115613316,0.138329272,-0.142443481,0.000807133,-0.007544859,-0.024731685,-0.002754933,-0.009773284,-0.00074042,0.951,0.782,0.913,0.782,0.001,0.739,0.913,0.739,0.233,0.734,0.959,0.7,0.136,0.563,0.937,0.975,0.854,0.948,0.854,0.003,0.821,0.948,0.821,0.303,0.798,0.977,0.759,0.154,0.619,0.97,0.959,0.94,0.959,0.948
17,100,1.570796327,1,0.03059752,2.951461837,-1.258888301,2.951461837,2.069534514,-1.614459567,-1.258888301,-1.614459567,-0.081425851,0.007769431,0.001198761,-0.046491863,0.00241341,-0.004418608,-0.011809188,0.016969347,2.861368324,-1.251472947,2.861368324,2.007092321,-1.597802646,-1.251472947,-1.597802646,-0.102357851,0.007775971,0.000153215,-0.046419978,0.00258581,-0.00448238,-0.013002188,-0.006457772,2.68713998,-1.233916936,2.68713998,1.893978088,-1.571627517,-1.233916936,-1.571627517,-0.140741457,0.007891664,-0.018938426,-0.046071833,0.003078901,-0.004771785,-0.015664822,0.945744681,0.885106383,0.657446809,0.885106383,0,0.078723404,0.657446809,0.078723404,0.993617021,0.876595745,0.954255319,0.884042553,0.291489362,0.834042553,0.929787234,0.971276596,0.943617021,0.786170213,0.943617021,0,0.162765957,0.786170213,0.162765957,0.99787234,0.917021277,0.976595745,0.928723404,0.337234043,0.881914894,0.959574468,0.968085106,0.981914894,0.95106383,0.964893617
33,100,1.570796327,1,0.031706111,2.880718125,-1.239495183,2.880718125,1.847626421,-1.683584074,-1.239495183,-1.683584074,-0.239490662,0.003947409,0.002237338,-0.043039629,0.003492775,-0.002837012,-0.004531277,0.018169661,2.800847302,-1.232359466,2.800847302,1.797854546,-1.66753418,-1.232359466,-1.66753418,-0.254065024,0.003919495,0.001512766,-0.042973649,0.003682942,-0.002853819,-0.00513029,-0.006981485,2.672144306,-1.216749978,2.672144306,1.709585016,-1.639736321,-1.216749978,-1.639736321,-0.281659286,0.003900767,-0.013600602,-0.043047493,0.002257497,-0.002969692,-0.005418805,0.94893617,0.872340426,0.518085106,0.872340426,0,0.004255319,0.518085106,0.004255319,0.737234043,0.831914894,0.955319149,0.813829787,0.225531915,0.710638298,0.935106383,0.970212766,0.936170213,0.665957447,0.936170213,0,0.010638298,0.665957447,0.010638298,0.793617021,0.879787234,0.981914894,0.871276596,0.245744681,0.782978723,0.965957447,0.978723404,0.973404255,0.95106383,0.959574468
65,100,1.570796327,1,0.030262629,2.917618824,-1.241615907,2.917618824,1.754668727,-1.746791177,-1.241615907,-1.746791177,-0.327274774,0.001829525,0.006157857,-0.026619374,0.006313889,-0.001685755,-0.001773809,0.016286821,2.835068992,-1.234429576,2.835068992,1.711818808,-1.730191811,-1.234429576,-1.730191811,-0.338079995,0.001805854,0.005509491,-0.026623365,0.006553324,-0.001721066,-0.001956552,-0.014300398,2.664413837,-1.218817855,2.664413837,1.634705039,-1.700021661,-1.218817855,-1.700021661,-0.357304498,0.001475286,-0.000732029,-0.026822833,0.004270395,-0.001908885,-0.000860203,0.944210526,0.830526316,0.372631579,0.830526316,0,0,0.372631579,0,0.227368421,0.709473684,0.954736842,0.732631579,0.151578947,0.621052632,0.954736842,0.975789474,0.908421053,0.527368421,0.908421053,0,0,0.527368421,0,0.294736842,0.775789474,0.976842105,0.796842105,0.171578947,0.670526316,0.972631579,0.963157895,0.963157895,0.949473684,0.964210526
17,200,1.570796327,1,0.010011635,2.858247255,-1.202492302,2.858247255,1.706716284,-1.656561154,-1.202492302,-1.656561154,-0.263009103,0.00455159,-0.00656266,-0.048401132,-0.005221199,-0.003510751,-0.00971452,0.002792277,2.819194184,-1.201320794,2.819194184,1.676793758,-1.646568775,-1.201320794,-1.646568775,-0.272909577,0.004497739,-0.005462731,-0.048124543,-0.005182957,-0.003500513,-0.010361621,-0.012056378,2.759867263,-1.201651334,2.759867263,1.621437809,-1.629964654,-1.201651334,-1.629964654,-0.291235929,0.004561488,0.009182725,-0.046715041,-0.005788796,-0.003367328,-0.012536927,0.936842105,0.761052632,0.341052632,0.761052632,0,0.002105263,0.341052632,0.002105263,0.512631579,0.878947368,0.955789474,0.875789474,0.281052632,0.786315789,0.929473684,0.966315789,0.862105263,0.454736842,0.862105263,0,0.002105263,0.454736842,0.002105263,0.605263158,0.923157895,0.971578947,0.928421053,0.311578947,0.858947368,0.961052632,0.963157895,0.973684211,0.953684211,0.957894737
33,200,1.570796327,1,0.006274773,2.783582194,-1.221133361,2.783582194,1.567443825,-1.719177894,-1.221133361,-1.719177894,-0.379361927,0.001501889,-0.008866362,-0.037889431,-0.007533256,-0.001589873,-0.004001942,-0.000777581,2.746082019,-1.219046944,2.746082019,1.544321706,-1.709649127,-1.219046944,-1.709649127,-0.38596028,0.0014757,-0.008773908,-0.037742323,-0.007580756,-0.001605524,-0.004420758,-0.015785472,2.679406082,-1.215358117,2.679406082,1.500329358,-1.692185031,-1.215358117,-1.692185031,-0.398401416,0.001526968,-0.011339513,-0.037618101,-0.009113845,-0.001578647,-0.006486488,0.934042553,0.705319149,0.132978723,0.705319149,0,0,0.132978723,0,0.022340426,0.828723404,0.955319149,0.819148936,0.206382979,0.738297872,0.945744681,0.959574468,0.807446809,0.220212766,0.807446809,0,0,0.220212766,0,0.044680851,0.878723404,0.975531915,0.874468085,0.231914894,0.79787234,0.969148936,0.960638298,0.960638298,0.955319149,0.954255319
65,200,1.570796327,1,0.009251275,2.879860589,-1.227637132,2.879860589,1.519409861,-1.77013859,-1.227637132,-1.77013859,-0.438066565,0.000127148,-0.007559841,-0.021958605,-0.006579467,-0.000993842,-0.001551795,0.002206658,2.83816867,-1.226043775,2.83816867,1.499479676,-1.760454779,-1.226043775,-1.760454779,-0.443213381,0.000105778,-0.007853115,-0.021905757,-0.006584239,-0.001008966,-0.001731194,-0.013041944,2.753947333,-1.22419415,2.753947333,1.461655101,-1.741108408,-1.22419415,-1.741108408,-0.453217257,6.11E-06,-0.016216968,-0.021733697,-0.008303666,-0.000991782,-0.002667816,0.938541667,0.632291667,0.053125,0.632291667,0,0,0.053125,0,0,0.719791667,0.954166667,0.722916667,0.145833333,0.592708333,0.9375,0.964583333,0.754166667,0.103125,0.754166667,0,0,0.103125,0,0,0.775,0.973958333,0.775,0.165625,0.6625,0.963541667,0.948958333,0.966666667,0.95,0.958333333
17,500,1.570796327,1,0.004771169,2.763124925,-1.206052121,2.763124925,1.449783161,-1.708404597,-1.206052121,-1.708404597,-0.41223894,0.001727777,-0.005976159,-0.044817918,-0.005471156,-0.002543637,-0.006978524,0.002187178,2.745598833,-1.206998665,2.745598833,1.438231864,-1.704811351,-1.206998665,-1.704811351,-0.416034434,0.001709864,-0.00651457,-0.044965847,-0.005495158,-0.002526313,-0.007133913,-0.00289186,2.725575136,-1.210493246,2.725575136,1.416674938,-1.699570172,-1.210493246,-1.699570172,-0.422670587,0.001671559,-0.009206554,-0.045527233,-0.005686382,-0.002398555,-0.007450826,0.945360825,0.506185567,0.021649485,0.506185567,0,0,0.021649485,0,0,0.873195876,0.957731959,0.850515464,0.253608247,0.797938144,0.918556701,0.972164948,0.625773196,0.037113402,0.625773196,0,0,0.037113402,0,0,0.917525773,0.980412371,0.9,0.295876289,0.862886598,0.945360825,0.955670103,0.94742268,0.954639175,0.957731959
33,500,1.570796327,1,0.004215037,2.777519156,-1.216977744,2.777519156,1.38635768,-1.748277003,-1.216977744,-1.748277003,-0.482223194,0.000425695,-0.004805474,-0.027549368,-0.00432815,-0.001854384,-0.002560507,0.001702847,2.760480774,-1.217095505,2.760480774,1.377001385,-1.744209972,-1.217095505,-1.744209972,-0.484598861,0.000478242,-0.00570906,-0.027608994,-0.004369963,-0.001865713,-0.00267674,-0.003431667,2.729011374,-1.218157795,2.729011374,1.358708744,-1.735888878,-1.218157795,-1.735888878,-0.489299531,0.000548932,-0.012215957,-0.02771335,-0.004298069,-0.001991978,-0.003688326,0.95257732,0.37628866,0.001030928,0.37628866,0,0,0.001030928,0,0,0.822680412,0.958762887,0.816494845,0.201030928,0.68556701,0.932989691,0.970103093,0.481443299,0.001030928,0.481443299,0,0,0.001030928,0,0,0.87628866,0.983505155,0.878350515,0.219587629,0.741237113,0.957731959,0.963917526,0.957731959,0.956701031,0.953608247
65,500,1.570796327,1,0.004620538,2.784211929,-1.219311215,2.784211929,1.360265628,-1.779641712,-1.219311215,-1.779641712,-0.516109225,-0.000122103,-0.004472324,-0.021971364,-0.003911767,-0.001297202,-0.00108763,0.002128681,2.765626948,-1.218832029,2.765626948,1.352181038,-1.775589732,-1.218832029,-1.775589732,-0.517791831,-7.88E-05,-0.005666235,-0.022005338,-0.004048267,-0.001297302,-0.00117343,-0.003297244,2.731588061,-1.21865786,2.731588061,1.338283062,-1.767553908,-1.21865786,-1.767553908,-0.521018717,9.04E-05,-0.013962066,-0.022124295,-0.004461273,-0.001339106,-0.002169113,0.94742268,0.31443299,0,0.31443299,0,0,0,0,0,0.736082474,0.958762887,0.724742268,0.140206186,0.570103093,0.937113402,0.967010309,0.420618557,0.001030928,0.420618557,0,0,0.001030928,0,0,0.793814433,0.982474227,0.788659794,0.165979381,0.640206186,0.969072165,0.953608247,0.954639175,0.958762887,0.957731959
17,1000,1.570796327,1,-0.000567822,2.845973366,-1.213437184,2.845973366,1.370647247,-1.740585609,-1.213437184,-1.740585609,-0.48084393,0.002168619,-0.002822911,-0.049034869,-0.002408115,-0.0026195,-0.004343976,-0.001551702,2.837783146,-1.213256645,2.837783146,1.366495939,-1.739612791,-1.213256645,-1.739612791,-0.482969833,0.002125782,-0.002813653,-0.049101452,-0.002242976,-0.002625619,-0.004449093,-0.001705053,2.82568284,-1.213165901,2.82568284,1.358935065,-1.737442494,-1.213165901,-1.737442494,-0.487254006,0.001966422,-0.008075734,-0.049302111,-0.000533923,-0.002664163,-0.004450473,0.95,0.167,0,0.167,0,0,0,0,0,0.885,0.953,0.836,0.264,0.785,0.917,0.973,0.25,0,0.25,0,0,0,0,0,0.928,0.981,0.889,0.3,0.846,0.953,0.952,0.925,0.955,0.953
33,1000,1.570796327,1,5.32E-05,2.866721134,-1.225469077,2.866721134,1.330923941,-1.778331529,-1.225469077,-1.778331529,-0.525442592,0.000914231,-0.002388859,-0.036119614,-0.001983214,-0.002155175,-0.001401486,-0.000898618,2.85624965,-1.225166987,2.85624965,1.326996144,-1.776995736,-1.225166987,-1.776995736,-0.526771598,0.000881904,-0.002828698,-0.036115699,-0.001975545,-0.002137303,-0.001455156,-0.00076341,2.831533335,-1.224817563,2.831533335,1.31970743,-1.774926428,-1.224817563,-1.774926428,-0.529469541,0.000762854,-0.010849656,-0.036257482,-0.002241675,-0.002019211,-0.001612281,0.956,0.085,0,0.085,0,0,0,0,0,0.81,0.96,0.784,0.186,0.665,0.939,0.976,0.134,0,0.134,0,0,0,0,0,0.87,0.978,0.844,0.209,0.738,0.961,0.954,0.941,0.96,0.939
65,1000,1.570796327,1,-0.00047537,2.870358052,-1.222160142,2.870358052,1.318184268,-1.792152478,-1.222160142,-1.792152478,-0.545546709,0.000756682,-0.002337989,-0.025961384,-0.001926874,-0.001667281,-0.000505857,-0.001430071,2.857451857,-1.221783769,2.857451857,1.314262922,-1.790966312,-1.221783769,-1.790966312,-0.546537984,0.000735475,-0.002876574,-0.025947455,-0.001964631,-0.001669836,-0.000534568,-0.000968753,2.8154607,-1.220356879,2.8154607,1.305871272,-1.789851325,-1.220356879,-1.789851325,-0.548206488,0.000564187,-0.010794264,-0.025746683,-0.002776654,-0.001612389,-0.000757814,0.95257732,0.053608247,0,0.053608247,0,0,0,0,0,0.731958763,0.957731959,0.689690722,0.135051546,0.563917526,0.93814433,0.97628866,0.093814433,0,0.093814433,0,0,0,0,0,0.78556701,0.978350515,0.758762887,0.15257732,0.627835052,0.970103093,0.956701031,0.936082474,0.957731959,0.943298969
17,100,3.141592654,1,0.028934158,-1.831707397,-1.990371589,-1.831707397,1.071437199,-0.372029288,-1.990371589,-0.372029288,0.342182131,0.009600168,0.002903217,-0.043709997,0.004157746,-0.001819203,-0.011607652,0.014774461,-1.826308185,-1.967646625,-1.826308185,1.023917291,-0.385914933,-1.967646625,-0.385914933,0.314448455,0.009557415,0.002063607,-0.043669005,0.004345177,-0.00178503,-0.012832434,-0.008097079,-1.803335988,-1.923206098,-1.803335988,0.933867388,-0.411876007,-1.923206098,-0.411876007,0.263716123,0.009289645,-0.019080298,-0.04340916,0.005249664,-0.001859846,-0.015810596,0.941836735,0.951020408,0.363265306,0.951020408,0.003061224,0.967346939,0.363265306,0.967346939,0.794897959,0.852040816,0.954081633,0.881632653,0.293877551,0.837755102,0.941836735,0.970408163,0.985714286,0.502040816,0.985714286,0.06122449,0.991836735,0.502040816,0.991836735,0.92755102,0.910204082,0.975510204,0.937755102,0.334693878,0.887755102,0.964285714,0.971428571,0.97755102,0.951020408,0.968367347
